,ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p,Date,Model
1,SPY,SD_Returns,107.25096172256144,116.509536087547,0.0011879401189998,0.1550915022262762,22.11469814468957,2.2823025472713985e-108,date_config1,LSTM
2,SPY,SD_Prices,104.32276516547074,116.509536087547,0.0013164135219322,0.1967273568629682,3.556538066898261,0.0003757740514696,date_config1,LSTM
3,SPY,IQR,106.76577908763636,116.509536087547,0.0018958590130766,0.2496892936181321,22.10832813265317,2.6282608312014412e-108,date_config1,LSTM
4,XLB,ATR,100.0,95.150406039117,0.0005032690773606,0.0575224475103979,,,date_config1,LSTM
5,XLB,SD_Returns,97.99112738845317,95.150406039117,0.0016661649942937,0.1695686055455452,18.418539927820824,9.32860127898062e-76,date_config1,LSTM
6,XLB,SD_Prices,100.0,95.150406039117,0.001169042996202,0.2322870461813388,-11.94734181839249,6.703518304694188e-33,date_config1,LSTM
7,XLB,IQR,100.0,95.150406039117,0.0019451506711044,0.371712173895469,18.11059228311193,2.6290461328923968e-73,date_config1,LSTM
8,XLE,ATR,97.74921748204554,101.8277066356228,0.0063387635739332,0.2140946876773387,,,date_config1,LSTM
9,XLE,SD_Returns,99.03026905829596,101.8277066356228,0.0046274894886043,0.39772474860356,40.02901124514784,0.0,date_config1,LSTM
10,XLE,SD_Prices,101.25528613901469,101.8277066356228,0.0011297759638134,0.2757229461162805,6.672103333801199,2.521629066448992e-11,date_config1,LSTM
11,XLE,IQR,100.08400113381074,101.8277066356228,0.002456986596629,0.3870522496111208,39.74719080638717,0.0,date_config1,LSTM
12,XLF,ATR,109.77423003898896,120.09391992090954,0.0004069111601117,0.0706749360295083,,,date_config1,LSTM
13,XLF,SD_Returns,111.0175055627559,120.09391992090954,0.0014325501979799,0.1941866211165652,17.34965157919909,1.9844414704201823e-67,date_config1,LSTM
14,XLF,SD_Prices,115.87693653317652,120.09391992090954,0.0010829312569512,0.1869402055768295,-7.206223652932429,5.752489183882993e-13,date_config1,LSTM
15,XLF,IQR,107.76194254503636,120.09391992090954,0.0012873897354198,0.2750436531892469,16.79597833658399,2.611623316778515e-63,date_config1,LSTM
16,XLI,ATR,101.30588766253416,109.68595041322314,0.0025312131415514,0.1464111988771441,,,date_config1,LSTM
17,XLI,SD_Returns,114.19830987308087,109.68595041322314,0.0035852833298496,0.2661024438777901,19.146972548469165,1.0257954065003795e-81,date_config1,LSTM
18,XLI,SD_Prices,103.32299069745252,109.68595041322314,0.0027590699046941,0.2833830166497296,-5.771396857786149,7.861707460510484e-09,date_config1,LSTM
19,XLI,IQR,113.25649054642608,109.68595041322314,0.0021683388635896,0.2766374289398203,19.10639335339148,2.233844015548736e-81,date_config1,LSTM
20,XLK,ATR,105.16314692663718,114.5585305408426,0.0014949752684061,0.1101317612543444,,,date_config1,LSTM
21,XLK,SD_Returns,109.93277687276657,114.5585305408426,0.0022018495593488,0.2091305962892046,12.712194413660322,5.059444875791532e-37,date_config1,LSTM
22,XLK,SD_Prices,103.79588899008256,114.5585305408426,0.0018502334401703,0.2069986283008881,-4.107061049454815,4.0072534132081865e-05,date_config1,LSTM
23,XLK,IQR,107.55738487354886,114.5585305408426,0.0051629348365484,0.5041157546301227,12.636235051943558,1.332847694700503e-36,date_config1,LSTM
24,XLP,ATR,102.23381676808611,104.7192513368984,0.0006429140475509,0.0600743130273574,,,date_config1,LSTM
25,XLP,SD_Returns,100.2047344413555,104.7192513368984,0.0025316225879145,0.2144483472086437,19.782438950504137,4.217879573518587e-87,date_config1,LSTM
26,XLP,SD_Prices,102.33367715317176,104.7192513368984,0.0012606440229151,0.2398191538203444,-9.012657876813476,2.0112191518950282e-19,date_config1,LSTM
27,XLP,IQR,102.69262816203972,104.7192513368984,0.001778116500274,0.2779516524522921,19.47106608864132,1.9320837274243483e-84,date_config1,LSTM
28,XLV,ATR,99.12533443095288,95.17808219178082,0.0008235601760252,0.0818352224255016,,,date_config1,LSTM
29,XLV,SD_Returns,98.7653574199054,95.17808219178082,0.0012149930693654,0.1905553131378405,19.59581854744676,1.6786428224799648e-85,date_config1,LSTM
30,XLV,SD_Prices,100.0,95.17808219178082,0.0008070180743556,0.203719921335076,-5.4828884508069855,4.184368816579087e-08,date_config1,LSTM
31,XLV,IQR,100.0,95.17808219178082,0.0026925935451641,0.4647681845367527,19.39276574748168,8.88294484474138e-84,date_config1,LSTM
32,XLY,ATR,111.0215699103596,122.88107931672288,0.0004962543419792,0.067785802092731,,,date_config1,LSTM
33,XLY,SD_Returns,114.60817291894102,122.88107931672288,0.0011654976507955,0.133559252726897,13.744145012717707,5.522155080832056e-43,date_config1,LSTM
34,XLY,SD_Prices,117.38604799810668,122.88107931672288,0.0008935647028931,0.1829396745060419,-7.404688325933042,1.3145884812278551e-13,date_config1,LSTM
35,XLY,IQR,111.64003033908531,122.88107931672288,0.0015686052324185,0.2372363704303457,13.64406800141463,2.1899538733417146e-42,date_config1,LSTM
36,XLU,ATR,106.96042881917074,123.68421052631578,0.0008407380970202,0.0618898137420935,,,date_config1,LSTM
37,XLU,SD_Returns,112.4977744365564,123.68421052631578,0.0021349959715092,0.2162244463735107,20.24396365400581,4.015403504125989e-91,date_config1,LSTM
38,XLU,SD_Prices,101.38159331583162,123.68421052631578,0.0012112304421995,0.1841049074327606,-7.652642509087264,1.968907156132852e-14,date_config1,LSTM
