,Date,Open,High,Low,Close,Volume,Adj Close,ATR,SD_Log_Close,ATR_normalized,SD_normalized,Delta_Days
3086,2012-04-19,138.63,139.15,137.07,137.72,198666700,108.66,1.7000000000000008,0.010172067881169863,-0.4951139253467809,0.015170286959503607,4481
3087,2012-04-20,138.33,138.83,137.87,137.95,143199600,108.84,1.624285714285719,0.009807152693185923,-0.5250175110854917,-0.033761645913843376,4482
3088,2012-04-23,136.54,136.91,135.94,136.79,171844900,107.92,1.6400000000000026,0.008723575837015123,-0.5188111064982126,-0.17905981857196662,4485
3089,2012-04-24,136.91,137.66,136.8,137.31,137484200,108.33,1.5057142857142887,0.007722754132097949,-0.5718476547895134,-0.3132612497421901,4486
3090,2012-04-25,138.65,139.25,138.53,139.19,150252200,109.82,1.5742857142857198,0.009203848751599289,-0.5447651620450182,-0.11465942420319784,4487
3091,2012-04-26,138.89,140.32,138.81,140.16,136291600,110.58,1.460000000000004,0.007810772864484689,-0.5899026499525091,-0.3014587080926093,4488
3092,2012-04-27,140.58,140.79,139.8,140.39,130725000,110.76,1.5014285714285702,0.007556088530858282,-0.5735403105860459,-0.335609648166523,4489
3093,2012-04-30,140.11,140.21,139.49,139.87,115092200,110.35,1.3328571428571365,0.007115970331705831,-0.640118105249596,-0.39462564664070515,4492
3094,2012-05-01,139.79,141.66,139.63,140.74,138832200,111.04,1.4642857142857062,0.007262855091363536,-0.588209994155983,-0.37492968594529874,4493
3095,2012-05-02,139.92,140.46,139.46,140.32,121081000,110.71,1.3599999999999934,0.006036768943753514,-0.6293979518715671,-0.5393371073059976,4494
3096,2012-05-03,140.34,140.45,138.99,139.25,143759700,109.86,1.444285714285704,0.0073877263802754976,-0.5961090545397946,-0.3581855390091144,4495
3097,2012-05-04,138.52,139.3,136.92,137.0,193927300,108.09,1.5071428571428507,0.008165952502153706,-0.5712834361906735,-0.25383222730835386,4496
3098,2012-05-07,136.51,137.56,136.46,137.1,127765900,108.17,1.4485714285714226,0.0072883526648198065,-0.594416398743262,-0.3715106845063935,4499
3099,2012-05-08,136.28,136.77,134.92,136.55,213377700,107.73,1.6185714285714263,0.006975217498516117,-0.5272743854808689,-0.4134993696650141,4500
3100,2012-05-09,135.1,136.61,134.49,135.74,220752500,107.09,1.7928571428571445,0.007013007609458717,-0.4584397164219448,-0.40843204653676707,4501
3101,2012-05-10,136.68,136.85,135.71,136.02,150600000,107.32,1.6657142857142853,0.006096272867793431,-0.5086551717190284,-0.5313581518864987,4502
3102,2012-05-11,135.17,136.87,135.11,135.61,153032400,106.99,1.7342857142857124,0.006094731165184432,-0.4815726789745349,-0.5315648807129719,4503
3103,2012-05-14,134.31,135.61,133.91,134.11,163910000,105.81,1.768571428571432,0.0064864864364708695,-0.46803143260228575,-0.47903392758034574,4506
3104,2012-05-15,134.02,134.81,133.13,133.34,207629300,105.2,1.6685714285714295,0.004426592654980728,-0.5075267345213407,-0.7552476549370065,4507
3105,2012-05-16,133.94,134.55,132.8,132.83,207265500,104.8,1.7614285714285731,0.003946618699577664,-0.4708525255965046,-0.8196079614961602,4508
3106,2012-05-17,132.86,133.02,130.79,130.86,247992900,103.24,1.768571428571432,0.005549475271208002,-0.46803143260228575,-0.604678923869832,4509
3107,2012-05-18,131.37,131.6,129.55,129.74,319615900,102.36,1.758571428571429,0.00562863146814649,-0.4719809627941924,-0.5940647706565819,4510
3108,2012-05-21,130.16,132.02,129.95,131.97,177861100,104.12,1.921428571428574,0.010309610190325781,-0.40766004252601795,0.03361350681024537,4513
3109,2012-05-22,132.31,133.23,131.34,132.2,197531200,104.3,1.9400000000000017,0.010563462732197798,-0.4003252007410511,0.06765291088995912,4514
3110,2012-05-23,131.25,132.46,129.99,132.27,204958400,104.36,2.0499999999999994,0.010095161417089644,-0.3568803686300927,0.004857803232283823,4515
3111,2012-05-24,132.63,132.84,131.42,132.53,167357600,104.56,2.0128571428571433,0.010034403591953001,-0.3715500522000266,-0.0032892893498084534,4516
3112,2012-05-25,132.48,132.85,131.78,132.1,135465600,104.22,1.9157142857142853,0.01000813752562287,-0.40991691692139365,-0.006811338957043273,4517
3113,2012-05-29,133.16,133.93,131.17,133.7,152883500,105.49,1.991428571428571,0.008766793536236377,-0.3800133311826813,-0.173264703359256,4521
3114,2012-05-30,132.56,133.69,131.49,131.76,162370400,103.95,2.0142857142857133,0.010268480957461561,-0.37098583360118353,0.02809843665719696,4522
3115,2012-05-31,131.71,132.45,130.34,131.47,196186000,103.73,1.9899999999999969,0.00794889623476299,-0.3805775497815261,-0.28293757303095834,4523
3116,2012-06-01,129.41,131.5,128.16,128.16,253240900,101.11,2.1971428571428566,0.012184257588357105,-0.29876585294919905,0.28498731547095935,4524
